Numéro de radar;Type de radar;Date de mise en service;VMA ;Latitude; Longitude
12001;ETD;31/10/2011 00:00;70;+45.361;+4.2526
12008;ETD;31/10/2011 00:00;80;+46.413340;+4.436502
12014;ETD;21/03/2012 00:00;80;+46.61972;+0.34503
12015;ETD;28/03/2012 00:00;80;+46.618;+0.356
12016;ETD;10/02/2012 00:00;80;+48.054;+6.587
12017;ETD;30/07/2012 00:00;70;+49.377654;+6.09112
12018;ETD;10/10/2011 00:00;80;+45.41410;+0.86307
12019;ETD;17/02/2012 00:00;80;+45.415;+0.8791
12024;ETD;28/03/2012 00:00;80;+48.416;+1.4759
12025;ETD;10/02/2012 00:00;80;+47.37244;+0.65324
12027;ETD;10/02/2012 00:00;80;+47.32163;+0.70358
12028;ETD;07/03/2012 00:00;80;+47.372853;+0.653372
12029;ETD;10/08/2012 00:00;80;+47.593;+0.7401
12030;ETD;30/03/2012 00:00;80;+48.108;+1.891
12033;ETD;02/05/2012 00:00;70;+47.934802;+1.930114
12034;ETD;18/02/2013 00:00;80;+48.977;+2.4732
12036;ETD;04/10/2013 00:00;80;+48.997662;+2.482158
12038;ETD;28/02/2013 00:00;90;+48.173;+3.3941
12040;ETD;05/12/2011 00:00;80;+47.792;+3.6229
12042;ETD;05/12/2011 00:00;90;+48.176;+3.1904
12043;ETD;22/03/2012 00:00;80;+45.796074;+4.934379
12046;ETD;29/05/2012 00:00;80;+48.332771;+4.093514
12047;ETD;07/06/2013 00:00;90;+43.736;+4.4634
12048;ETD;24/03/2014 00:00;90;+43.937;+4.604
12050;ETD;05/02/2013 00:00;80;+43.584;+1.4965
12051;ETD;05/02/2013 00:00;80;+43.634;+1.421
12052;ETD;07/03/2012 00:00;80;+43.686;-0.1748
12053;ETD;15/06/2012 00:00;90;+45.243;+5.8603
12054;ETD;26/10/2012 00:00;50;+47.797;+1.0737
12055;ETD;22/07/2013 00:00;90;+47.343933;-0.066891
12056;ETD;16/05/2012 00:00;80;+48.643;+5.066
12057;ETD;04/07/2013 00:00;90;+50.55145;+3.06023
12059;ETD;05/05/2012 00:00;90;+50.64014;+2.9372
12063;ETD;06/01/2014 00:00;90;+50.85025;+1.72379
12064;ETD;10/03/2014 00:00;50;+50.70290;+1.62584
12067;ETD;10/08/2012 00:00;50;+48.339;+7.5412
12068;ETD;22/03/2012 00:00;80;+45.777;+4.9715
12070;ETD;04/10/2013 00:00;90;+46.734;+4.8358
12071;ETD;14/10/2013 00:00;90;+46.73369;+4.83553
12072;ETD;13/12/2013 00:00;70;+48.903;+2.0053
12074;ETD;15/03/2013 00:00;90;+48.778;+2.2135
12075;ETD;10/08/2012 00:00;80;+48.506;+1.8357
12076;ETD;09/10/2012 00:00;80;+48.798458;+1.772916
12078;ETD;12/11/2013 00:00;80;+43.999;+1.3646
12079;ETD;26/10/2012 00:00;90;+48.142;+4.6167
12081;ETD;21/02/2013 00:00;80;+43.656;+4.6519
12082;ETD;25/03/2013 00:00;90;+43.404368;+5.341811
12083;ETD;02/05/2012 00:00;90;+45.268816;+3.202271
12084;ETD;02/05/2012 00:00;90;+45.175;+3.1705
12088;ETD;10/08/2012 00:00;90;+45.372;+1.5736
12089;ETD;01/10/2012 00:00;90;+45.5273;+2.339
12090;ETD;05/08/2013 00:00;80;+47.50655;+6.83185
12091;ETD;22/04/2014 00:00;80;+47.50626;+6.83206
12093;ETD;21/03/2012 00:00;80;+48.18;+1.3748
12094;ETD;11/04/2012 00:00;80;+48.751;+1.4536
12096;ETD;28/03/2012 00:00;80;+48.454;+1.4482
12097;ETD;23/01/2013 00:00;90;+46.605;+1.5017
12098;ETD;25/06/2012 00:00;90;+47.116024;+0.597417
12099;ETD;23/01/2013 00:00;90;+47.415;+0.7295
12102;ETD;13/02/2013 00:00;80;+47.165972;-1.522873
12104;ETD;31/01/2014 00:00;90;+47.767595;+1.568362
12105;ETD;16/05/2012 00:00;90;+44.266;+0.2796
12107;ETD;17/09/2012 00:00;90;+48.73475;-1.29568
12110;ETD;21/03/2012 00:00;80;+48.277;+5.1119
12111;ETD;19/06/2012 00:00;90;+48.783;+0.318
12112;ETD;04/11/2013 00:00;70;+48.589;+7.7303
12115;ETD;22/02/2013 00:00;80;+45.585311;+5.907693
12116;ETD;25/06/2012 00:00;80;+45.56795;+5.94276
12117;ETD;03/12/2012 00:00;90;+46.075;+5.9057
12123;ETD;19/06/2012 00:00;80;+49.99;+3.0073
12125;ETD;17/09/2012 00:00;80;+49.658;+2.7086
12126;ETD;29/05/2012 00:00;80;+49.951;+1.942
12128;ETD;26/10/2012 00:00;90;+50.121;+1.7958
12130;ETD;17/09/2012 00:00;80;+49.957;+2.8766
12134;ETD;29/06/2012 00:00;80;+45.849;+1.2761
12135;ETD;02/12/2013 00:00;90;+48.16363;+5.70697
12136;ETD;05/08/2013 00:00;80;+48.609;+2.3333
12137;ETD;05/08/2013 00:00;80;+48.609;+2.3332
12140;ETD;07/06/2013 00:00;80;+49.035;+2.4873
12141;ETD;23/01/2013 00:00;80;+49.060959;+2.3584
12142;ETD;11/02/2013 00:00;80;+47.165;-1.5225
12143;ETD;14/02/2014 00:00;80;+47.253115;-1.477797
12145;ETD;10/08/2012 00:00;70;+45.61770;+0.10097
12146;ETD;15/07/2013 00:00;70;+45.670924;+0.138358
12149;ETD;17/09/2012 00:00;80;+46.215950;+1.722814
12150;ETD;07/01/2013 00:00;80;+46.192479;+1.953377
12151;ETD;19/06/2012 00:00;80;+46.761;-1.4307
12152;ETD;04/07/2013 00:00;90;+50.523;+3.0409
12153;ETD;25/10/2013 00:00;70;+43.732699;+7.295554
12154;ETD;16/12/2013 00:00;70;+43.797;+7.4834
12157;ETD;25/10/2013 00:00;80;+47.283681;+2.190504
12160;ETD;20/03/2013 00:00;80;+44.744;-0.7043
12161;ETD;12/04/2013 00:00;80;+44.593;-0.843
12162;ETD;24/07/2013 00:00;90;+44.97754;-0.43216
12165;ETD;15/07/2013 00:00;90;+49.223067;+2.642181
12166;ETD;09/09/2013 00:00;80;+49.087861;+2.732704
12167;ETD;25/10/2013 00:00;90;+45.824527;+4.918214
12169;ETD;14/02/2013 00:00;80;+45.731;+4.9788
12172;ETD;11/02/2013 00:00;70;+45.8919;+4.37018
12179;ETD;11/02/2013 00:00;50;+46.191;-0.0572
12183;ETD;14/10/2013 00:00;80;+48.625;+2.3604
12184;ETD;21/12/2012 00:00;50;+47.633;+6.1594
12185;ETD;12/11/2013 00:00;80;+47.251324;-1.476574
12186;ETD;12/11/2013 00:00;80;+45.031;-0.4199
12191;ETD;02/09/2013 00:00;80;+48.647;+4.8641
12193;ETD;13/03/2014 00:00;80;+49.364247;+3.344924
12194;ETD;13/03/2014 00:00;80;+49.364062;+3.345087
12195;ETD;14/02/2014 00:00;80;+49.72738;+4.42786
12196;ETD;02/12/2013 00:00;80;+49.753;+5.0284
12197;ETD;21/02/2013 00:00;80;+46.199;-1.0354
12198;ETD;21/02/2013 00:00;80;+46.126;-1.106
12199;ETD;18/03/2013 00:00;80;+45.3;-0.2388
12203;ETD;30/09/2013 00:00;80;+49.431253;+2.810755
12204;ETD;04/10/2013 00:00;80;+49.249271;+2.481997
12205;ETD;13/05/2013 00:00;80;+48.146;+7.3689
12208;ETD;18/02/2013 00:00;50;+46.894;+4.8527
12211;ETD;08/08/2013 00:00;80;+43.909;+1.7595
12212;ETD;08/08/2013 00:00;80;+43.916;+2.2793
12213;ETD;08/04/2013 00:00;70;+43.621584;+2.308637
12217;ETD;24/10/2013 00:00;80;+42.739;+2.8873
12220;ETD;24/05/2013 00:00;90;+46.824;+0.5191
12224;ETD;06/09/2013 00:00;90;+43.62914;+3.69391
12231;ETD;03/07/2013 00:00;80;+48.14634;+7.36874
12232;ETD;21/11/2013 00:00;80;+50.583;+3.0907
12233;ETD;21/11/2013 00:00;80;+50.589;+3.0965
12235;ETD;13/09/2013 00:00;90;+48.867421;+6.093431
12236;ETD;12/08/2013 00:00;90;+48.921;+6.1098
12237;ETD;20/01/2014 00:00;70;+48.536733;+2.209299
12238;ETD;04/11/2013 00:00;80;+48.70354;+5.42523
12239;ETD;02/01/2014 00:00;80;+48.693;+5.3376
12240;ETD;26/05/2014 00:00;80;+44.783;-0.6321
12241;ETD;25/10/2013 00:00;80;+47.363;+0.7134
12242;ETD;23/09/2013 00:00;80;+47.396;+0.707
12244;ETD;27/05/2014 00:00;80;+48.485;+3.4819
12245;ETD;02/01/2014 00:00;80;+48.496;+4.1362
12246;ETD;02/09/2013 00:00;80;+44.39;+2.695
12249;ETD;03/02/2014 00:00;80;+45.989;+0.2005
12250;ETD;21/08/2014 00:00;70;+48.517;-2.745
12251;ETD;21/08/2014 00:00;70;+48.51;-2.7402
12254;ETD;08/04/2014 00:00;70;+47.934365;+1.930398
12256;ETD;06/01/2014 00:00;80;+50.36674;+2.31171
12259;ETD;12/06/2014 00:00;70;+45.765;+4.9072
12260;ETD;05/05/2014 00:00;70;+45.76502;+4.90727
12262;ETD;31/01/2014 00:00;80;+48.341;+6.3143
12263;ETD;28/10/2013 00:00;90;+48.1735;+3.3715
12264;ETD;22/04/2014 00:00;90;+48.022;+3.3137
12266;ETD;14/02/2014 00:00;80;+48.74226;+0.96123
12267;ETD;02/01/2014 00:00;80;+43.59225;+1.39882
12269;ETD;13/12/2013 00:00;80;+43.782;-0.0235
12271;ETD;22/11/2013 00:00;50;+47.796;+1.0742
12272;ETD;19/05/2014 00:00;80;+49.556;-1.564
12273;ETD;17/02/2014 00:00;80;+48.691677;-1.360691
12276;ETD;12/11/2013 00:00;80;+50.604;+2.9455
12278;ETD;20/01/2014 00:00;90;+45.557299;+5.718262
12279;ETD;17/01/2014 00:00;80;+45.571925;+5.936528
12288;ETD;21/03/2014 00:00;70;+48.62935;+2.35531
12292;ETD;28/04/2014 00:00;90;+43.711;-1.2282
12293;ETD;06/06/2014 00:00;90;+44.139732;-0.973174
12294;ETD;08/04/2014 00:00;90;+44.40999;-0.81927
12297;ETD;23/05/2014 00:00;90;+48.95139;+2.450885
12298;ETD;15/05/2014 00:00;90;+43.943;-1.083
12299;ETD;12/05/2014 00:00;90;+43.389;+3.4582
12300;ETD;05/05/2014 00:00;90;+43.475;+3.6513
12301;ETD;07/04/2014 00:00;90;+49.541;+2.7273
12302;ETD;07/04/2014 00:00;90;+49.541;+2.7273
12303;ETD;25/05/2018 00:00;90;+48.967674;+2.510128
12306;ETD;28/01/2015 00:00;80;+46.197412;+1.782916
12309;ETD;29/12/2014 00:00;80;+49.4168;+1.04682
12311;ETD;23/02/2015 00:00;80;+43.608;+1.4101
12312;ETD;16/03/2015 00:00;80;+45.695;+4.8309
12313;ETD;22/12/2017 00:00;80;+45.671884;+4.772833
12314;ETD;07/09/2015 00:00;70;+45.195;+6.6222
12315;ETD;28/01/2015 00:00;90;+49.47274;+1.02779
12318;ETD;20/03/2015 00:00;80;+46.46028;+0.26737
12322;ETD;21/08/2015 00:00;80;+45.971;+2.1899
12324;ETD;29/06/2015 00:00;80;+43.663;+0.6237
12325;ETD;17/07/2015 00:00;90;+45.17387;+5.38752
12330;ETD;25/03/2016 00:00;90;+43.13936;+0.31168
12331;ETD;18/03/2016 00:00;80;+43.6067;+1.319450
12333;ETD;04/04/2016 00:00;90;+46.148908;+6.150307
12334;ETD;27/05/2016 00:00;80;+43.97436;+4.86708
12335;ETD;04/04/2016 00:00;90;+43.1907;+3.06719
12336;ETD;23/12/2015 00:00;90;+43.191861;+2.415144
12337;ETD;23/12/2015 00:00;90;+43.192543;+2.3697
12338;ETD;09/03/2016 00:00;80;+43.6353;+1.42083
12339;ETD;17/05/2016 00:00;70;+51.01468;+2.38797
12340;ETD;14/03/2016 00:00;70;+50.997972;+2.287027
12341;ETD;02/06/2016 00:00;80;+49.36362;+3.48006
12342;ETD;20/06/2016 00:00;80;+49.42835;+1.05613
12343;ETD;22/04/2016 00:00;90;+49.78055;+1.7445
12344;ETD;01/07/2016 00:00;90;+49.7861;+1.4865
12345;ETD;14/04/2016 00:00;90;+49.01541;+2.1454
12346;ETD;04/02/2016 00:00;80;+49.05951;+2.28241
12347;ETD;02/05/2017 00:00;80;+43.59088;+1.39900
12348;ETD;03/04/2017 00:00;50;+43.710541;+7.201861
12351;ETD;24/07/2017 00:00;80;+43.64658;+1.46013
12353;ETD;13/06/2016 00:00;80;+45.910064;-0.965179
12354;ETD;09/10/2017 00:00;90;+47.08755;+4.75651
12355;ETD;12/08/2016 00:00;80;+48.59375;-1.41286
12357;ETD;20/06/2016 00:00;80;+50.44641;+2.83944
12358;ETD;21/11/2016 00:00;80;+43.58519;+1.49663
12360;ETD;10/10/2016 00:00;80;+50.68421;+3.13346
12361;ETD;19/12/2016 00:00;80;+47.3168;+5.07991
12362;ETD;31/10/2016 00:00;90;+49.091;+5.2326
12363;ETD;13/11/2017 00:00;90;+47.64479;+5.17894
12365;ETD;05/12/2016 00:00;90;+48.9207;-1.08303
12366;ETD;30/05/2016 00:00;80;+50.4347;+2.8484
12367;ETD;23/12/2016 00:00;90;+47.302985;+4.50281
12368;ETD;23/12/2016 00:00;90;+47.302835;+4.503231
12369;ETD;02/05/2016 00:00;80;+48.66478;-1.3671
12370;ETD;25/07/2016 00:00;80;+48.596172;-1.407477
12371;ETD;08/09/2016 00:00;80;+48.425255;-0.299788
12372;ETD;30/05/2016 00:00;90;+50.424217;+3.01685
12373;ETD;07/10/2016 00:00;80;+49.45061;-1.34994
12374;ETD;19/09/2016 00:00;90;+47.038913;+3.13987
